BinCenter (ps);Histo01;Histo02;Histo03;Histo04
66350;11;7;0;0
66450;6;4;0;0
66550;8;17;0;0
66650;5;5;0;0
66750;7;13;0;0
66850;6;10;0;0
66950;7;12;0;0
67050;7;8;0;0
67150;7;26;0;0
67250;4;11;0;0
67350;10;3;0;0
67450;14;5;0;0
67550;8;49;0;0
67650;4;8;0;0
67750;9;6;0;0
67850;1;7;0;0
67950;6;43;0;0
68050;4;12;0;0
68150;3;8;0;0
68250;6;6;0;0
68350;6;13;0;0
68450;7;11;0;0
68550;8;5;0;0
68650;4;6;0;0
68750;3;4;0;0
68850;11;3;0;0
68950;8;2;0;0
69050;5;7;0;0
69150;6;6;0;0
69250;8;6;0;0
69350;4;2;0;0
69450;4;2;0;0
69550;6;6;0;0
69650;6;7;0;0
69750;7;7;0;0
69850;12;4;0;0
69950;4;8;0;0
70050;7;4;0;0
70150;4;6;0;0
70250;4;8;0;0
70350;4;8;0;0
70450;3;4;0;0
70550;10;5;0;0
70650;12;7;0;0
70750;8;5;0;0
70850;8;7;0;0
70950;9;8;0;0
71050;6;8;0;0
71150;4;18;0;0
71250;5;9;0;0
71350;8;10;0;0
71450;6;4;0;0
71550;5;14;0;0
71650;10;22;0;0
71750;6;6;0;0
71850;8;7;0;0
71950;9;23;0;0
72050;4;11;0;0
72150;2;5;0;0
72250;12;9;0;0
72350;5;9;0;0
72450;3;5;0;0
72550;11;11;0;0
72650;5;12;0;0
72750;6;7;0;0
72850;9;6;0;0
72950;16;5;0;0
73050;10;10;0;0
73150;7;10;0;0
73250;5;5;0;0
73350;7;15;0;0
73450;12;4;0;0
73550;8;6;0;0
73650;6;7;0;0
73750;7;8;0;0
73850;12;7;0;0
73950;10;2;0;0
74050;5;5;0;0
74150;5;7;0;0
74250;10;7;0;0
74350;10;9;0;0
74450;8;6;0;0
74550;6;8;0;0
74650;6;6;0;0
74750;5;9;0;0
74850;5;7;0;0
74950;11;10;0;0
75050;8;7;0;0
75150;11;8;0;0
75250;4;5;0;0
75350;5;3;0;0
75450;3;5;0;0
75550;16;9;0;0
75650;11;6;0;0
75750;7;7;0;0
75850;5;7;0;0
75950;7;6;0;0
76050;10;12;0;0
76150;3;8;0;0
76250;5;14;0;0
76350;12;10;0;0
76450;5;11;0;0
76550;8;7;0;0
76650;8;8;0;0
76750;6;13;0;0
76850;10;5;0;0
76950;7;11;0;0
77050;6;7;0;0
77150;10;10;0;0
77250;5;8;0;0
77350;5;3;0;0
77450;5;11;0;0
77550;8;6;0;0
77650;12;8;0;0
77750;14;8;0;0
77850;6;9;0;0
77950;10;5;0;0
78050;14;6;0;0
78150;14;9;0;0
78250;9;5;0;0
78350;6;10;0;0
78450;13;6;0;0
78550;20;6;0;0
78650;8;7;0;0
78750;5;10;0;0
78850;10;5;0;0
78950;14;5;0;0
79050;9;9;0;0
79150;8;9;0;0
79250;5;8;0;0
79350;5;5;0;0
79450;10;7;0;0
79550;9;12;0;0
79650;6;9;0;0
79750;1;6;0;0
79850;5;5;0;0
79950;6;5;0;0
80050;7;5;0;0
80150;11;8;0;0
80250;5;2;0;0
80350;9;6;0;0
80450;10;10;0;0
80550;6;10;0;0
80650;4;7;0;0
80750;4;8;0;0
80850;7;7;0;0
80950;7;7;0;0
81050;4;7;0;0
81150;3;9;0;0
81250;9;5;0;0
81350;6;7;0;0
81450;6;5;0;0
81550;4;13;0;0
81650;5;9;0;0
81750;12;11;0;0
81850;2;9;0;0
81950;5;8;0;0
82050;9;4;0;0
82150;47;8;0;0
82250;8;9;0;0
82350;6;9;0;0
82450;8;6;0;0
82550;45;1;0;0
82650;5;9;0;0
82750;3;5;0;0
82850;14;5;0;0
82950;23;3;0;0
83050;7;5;0;0
83150;8;6;0;0
83250;3;5;0;0
83350;6;4;0;0
83450;5;5;0;0
83550;13;4;0;0
83650;8;4;0;0
83750;7;13;0;0
83850;12;6;0;0
83950;17;9;0;0
84050;8;9;0;0
84150;2;17;0;0
84250;5;14;0;0
84350;15;16;0;0
84450;9;18;0;0
84550;8;14;0;0
84650;6;21;0;0
84750;9;22;0;0
84850;3;22;0;0
84950;10;23;0;0
85050;9;17;0;0
85150;4;20;0;0
85250;2;25;0;0
85350;6;18;0;0
85450;6;21;0;0
85550;8;13;0;0
85650;1;6;0;0
85750;10;7;0;0
85850;5;7;0;0
85950;5;7;0;0
86050;12;10;0;0
86150;11;6;0;0
86250;6;8;0;0
86350;6;10;0;0
86450;2;6;0;0
86550;3;9;0;0
86650;7;8;0;0
86750;7;7;0;0
86850;3;1;0;0
86950;11;3;0;0
87050;11;5;0;0
87150;6;12;0;0
87250;8;6;0;0
87350;7;6;0;0
87450;5;5;0;0
87550;12;8;0;0
87650;4;2;0;0
87750;5;10;0;0
87850;4;2;0;0
87950;10;4;0;0
88050;8;4;0;0
88150;5;5;0;0
88250;3;6;0;0
88350;7;8;0;0
88450;5;8;0;0
88550;4;8;0;0
88650;4;7;0;0
88750;3;6;0;0
88850;2;11;0;0
88950;3;14;0;0
89050;11;16;0;0
89150;7;6;0;0
89250;9;7;0;0
89350;3;7;0;0
